timestamp;buyer;seller;symbol;currency;price;quantity
0;;;RAINFOREST_RESIN;SEASHELLS;10008.0;6
100;;;KELP;SEASHELLS;2034.0;1
100;;;RAINFOREST_RESIN;SEASHELLS;9992.0;2
100;;;SQUID_INK;SEASHELLS;1838.0;1
200;;;JAMS;SEASHELLS;6542.0;11
200;;;JAMS;SEASHELLS;6543.0;9
200;;;KELP;SEASHELLS;2035.0;1
200;;;SQUID_INK;SEASHELLS;1842.0;1
300;;;KELP;SEASHELLS;2034.0;1
300;;;RAINFOREST_RESIN;SEASHELLS;10001.0;1
300;;;SQUID_INK;SEASHELLS;1843.0;1
500;;;KELP;SEASHELLS;2034.0;1
500;;;SQUID_INK;SEASHELLS;1840.0;1
600;;;KELP;SEASHELLS;2033.0;5
600;;;RAINFOREST_RESIN;SEASHELLS;9997.0;3
600;;;SQUID_INK;SEASHELLS;1840.0;5
700;;;JAMS;SEASHELLS;6542.0;6
700;;;KELP;SEASHELLS;2032.0;1
700;;;SQUID_INK;SEASHELLS;1834.0;1
800;;;KELP;SEASHELLS;2032.0;1
800;;;SQUID_INK;SEASHELLS;1833.0;1
1000;;;CROISSANTS;SEASHELLS;4275.0;7
1000;;;DJEMBES;SEASHELLS;13413.0;4
1100;;;DJEMBES;SEASHELLS;13414.0;5
1200;;;KELP;SEASHELLS;2032.0;1
1200;;;SQUID_INK;SEASHELLS;1837.0;1
1400;;;CROISSANTS;SEASHELLS;4273.0;6
1400;;;KELP;SEASHELLS;2033.0;6
1400;;;RAINFOREST_RESIN;SEASHELLS;10001.0;1
1400;;;SQUID_INK;SEASHELLS;1842.0;6
1500;;;DJEMBES;SEASHELLS;13412.0;7
1500;;;JAMS;SEASHELLS;6542.0;10
1500;;;JAMS;SEASHELLS;6542.0;8
1500;;;KELP;SEASHELLS;2034.0;1
1600;;;JAMS;SEASHELLS;6542.0;4
1700;;;JAMS;SEASHELLS;6542.0;8
1800;;;RAINFOREST_RESIN;SEASHELLS;10002.0;3
1900;;;DJEMBES;SEASHELLS;13414.0;2
1900;;;KELP;SEASHELLS;2032.0;1
1900;;;SQUID_INK;SEASHELLS;1847.0;1
2100;;;DJEMBES;SEASHELLS;13414.0;8
2100;;;RAINFOREST_RESIN;SEASHELLS;9992.0;4
2200;;;DJEMBES;SEASHELLS;13415.0;3
